(( 0.7745 ), 5.0094916077962 )
(( -2.911 ), -7.4249454728358 )
(( 1.5035 ), 7.4611715622348 )
(( -1.577 ), -2.5741262683259 )
(( -0.505 ), 0.97411852227581 )
(( 1.0725 ), 6.0703633922817 )
(( -1.2045 ), -0.96670976876945 )
(( -0.0135 ), 2.282678615579 )
(( 0.4845 ), 4.1775750315369 )
(( 2.2675 ), 10.041041082987 )
(( -0.3405 ), 1.0389473971465 )
(( 1.5345 ), 7.3423790471217 )
(( -0.093 ), 2.5031293141819 )
(( 2.0215 ), 8.9104769356248 )
(( -1.7715 ), -2.8420454987341 )
(( -1.5855 ), -2.9562681102986 )
(( -2.192 ), -3.6682415833025 )
(( 1.9095 ), 9.166623627681 )
(( 0.8485 ), 6.0914048099413 )
(( -0.709 ), 0.47968414222519 )
(( -2.843 ), -6.5264614977857 )
(( -1.9735 ), -3.8645213148145 )
(( 1.7035 ), 8.9441241803941 )
(( -0.155 ), 3.0509972249819 )
(( 2.9655 ), 12.935533805035 )
(( -1.3755 ), -1.5816143101573 )
(( 0.176 ), 3.9645912072752 )
(( -2.4225 ), -5.4954471552349 )
(( 0.633 ), 5.5294541879492 )
(( -2.7665 ), -6.3182854179735 )
(( -1.4515 ), -1.6581423305107 )
(( -0.818 ), -0.50513691533123 )
(( -1.1775 ), -1.2680166130429 )
(( -1.924 ), -4.0769286817176 )
(( 0.6735 ), 5.131041594929 )
(( -1.5445 ), -1.8028255988315 )
(( 1.1615 ), 6.6173449312343 )
(( 2.197 ), 10.542617170521 )
(( -0.0635 ), 2.2153305854483 )
(( -1.118 ), -1.5874910022529 )
(( -2.871 ), -7.010675622457 )
(( -2.52 ), -4.9008409279637 )
(( 1.7575 ), 8.8400753456057 )
(( -0.479 ), 1.5385890088024 )
(( 0.713 ), 4.500117791938 )
(( -0.935 ), 0.31160271040404 )
(( 1.582 ), 8.3559175944247 )
(( 1.7955 ), 8.0286781881923 )
(( 1.835 ), 8.4985001338005 )
(( 1.511 ), 7.4169573170118 )
(( 0.407 ), 4.0660714541971 )
(( 2.9825 ), 13.231927798392 )
(( -0.5485 ), 0.27824516167212 )
(( 1.7645 ), 8.606597709826 )
(( 2.729 ), 11.712302128623 )
(( 1.102 ), 6.8978539707749 )
(( 2.821 ), 11.892324319881 )
(( -1.1225 ), -1.5645905559734 )
(( 0.9185 ), 6.3986940101519 )
(( 0.541 ), 3.8814915470716 )
(( -2.4405 ), -5.4174182716999 )
(( -2.8485 ), -6.5306924577167 )
(( 2.0995 ), 9.1769249964166 )
(( 0.711 ), 4.7495542113569 )
(( -0.774 ), 0.72477170956087 )
(( -1.2555 ), -0.95654393143944 )
(( -0.038 ), 2.2135567522811 )
(( -2.1145 ), -4.7639568207155 )
(( -1.122 ), -1.8030136550948 )
(( 1.307 ), 6.7359518759684 )
(( -0.614 ), 1.5331501954371 )
(( 2.7095 ), 12.308901423585 )
(( 2.688 ), 12.057881106983 )
(( 1.0095 ), 5.4136794595072 )
(( -2.3085 ), -4.2301492856431 )
(( -1.3615 ), -2.2350831373847 )
(( -1.351 ), -2.5321220254217 )
(( 1.8695 ), 9.0277910853526 )
(( 0.113 ), 3.4255460691267 )
(( 0.6915 ), 5.0101867914381 )
(( 0.034 ), 3.4626966609745 )
(( -1.796 ), -3.5335935119983 )
(( 2.1495 ), 9.9197627957936 )
(( -2.386 ), -5.6634467971548 )
(( -1.245 ), -0.68726929080817 )
(( -1.297 ), -1.8553307474396 )
(( -1.356 ), -2.2426248304627 )
(( 2.8685 ), 12.06535145947 )
(( 0.4545 ), 3.7830138751154 )
(( 1.7135 ), 8.9746305038655 )
(( -2.6865 ), -6.6353263273915 )
(( 1.875 ), 9.1769795347862 )
(( 0.844 ), 6.3147647444546 )
(( -2.257 ), -4.2363012369809 )
(( 0.22 ), 2.7710151720076 )
(( -0.8125 ), -0.35766702420013 )
(( -1.335 ), -2.1547434843157 )
(( 2.6115 ), 11.058344593442 )
(( 2.509 ), 11.665036030856 )
(( -2.865 ), -7.0322615495151 )
(( 0.6385 ), 5.3895144805641 )
(( 1.34 ), 6.6476745614988 )
(( 2.9365 ), 12.764193105539 )
(( 0.314 ), 4.2805531732675 )
(( 1.253 ), 6.7244667285057 )
(( 2.3835 ), 11.181646846713 )
(( 1.2575 ), 6.7985772573994 )
(( 0.126 ), 3.6157034075307 )
(( -1.906 ), -4.1890065161984 )
(( -1.4045 ), -1.0111276375378 )
(( 1.737 ), 9.2872520412338 )
(( 1.963 ), 9.1654410429065 )
(( -0.833 ), -0.4814065164716 )
(( -0.228 ), 1.5345996672823 )
(( 2.063 ), 9.3548204177548 )
(( 1.9655 ), 9.2767296256525 )
(( 0.6965 ), 4.9228452091559 )
(( -2.853 ), -6.7067652181879 )
(( -1.9485 ), -3.4755671706908 )
(( -0.507 ), 0.9330271147165 )
(( -1.392 ), -1.2206049614351 )
